created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2020-02-11,34,84,27.909,,,,,,
2020-02-12,34,81,27.9369,,,,,,
2020-02-13,35,95,25.8258,,,,,,
2020-02-14,35,112,24.9981,,,,,,
2020-02-18,34,95,25.4166,,,,,,
2020-02-19,34,92,25.398,,,,,,
2020-02-20,34,92,25.5003,,,,,,
2020-02-21,34,89,25.3515,,,,,,
2020-02-24,34,98,24.7656,,,,,,
2020-02-25,33,99,24.2448,,,,,,
2020-02-26,33,101,23.8449,,,,,,
2020-02-27,33,114,23.2218,,,,,,
2020-02-28,33,121,23.0358,,,,,,
2020-03-02,33,113,24.2448,,,,,,
2020-03-03,33,110,23.7147,,,,,,
2020-03-04,33,105,24.5982,,,,,,
2020-03-05,33,118,24.7842,,,,,,
2020-03-06,33,130,24.2076,,,,,,
2020-03-09,33,148,22.2825,,,,,,
2020-03-10,32,130,22.7847,,,,,,
2020-03-11,32,165,22.0035,,,,,,
2020-03-12,32,193,18.9764,,,,,,
2020-03-13,32,163,22.6752,,,,,,
2020-03-16,32,170,20.8305,,,,,,
2020-03-17,32,200,22.5427,,,,,,
2020-03-18,30,209,22.4103,,,,,,
2020-03-19,30,194,21.0765,,,,,,
2020-03-20,30,200,21.0765,,,,,,
2020-03-23,29,200,19.648,,,,,,
2020-03-24,29,185,21.7481,,,,,,
2020-03-25,29,165,21.7197,,,,,,
2020-03-26,29,150,23.432,,,,,,
2020-03-27,28,150,22.9306,,,,,,
2020-03-30,28,150,23.8104,,,,,,
2020-03-31,28,135,23.4036,,,,,,
2020-04-01,28,145,22.4008,,,,,,
2020-04-02,28,150,23.309,,,,,,
2020-04-03,29,165,23.9522,,,,,,
2020-04-06,29,155,24.5104,,,,,,
2020-04-07,29,135,25.1726,,,,,,
2020-04-08,29,130,25.8442,,,,,,
2020-04-09,29,110,26.5915,,,,,,
2020-04-13,30,106,26.4213,,,,,,
2020-04-14,31,105,26.9132,,,,,,
2020-04-15,32,110,26.5348,,,,,,
2020-04-16,32,90,27.651,,,,,,
2020-04-17,32,100,27.7456,,,,,,
2020-04-20,32,100,27.5943,,,,,,
2020-04-21,32,110,26.9321,,,,,,
2020-04-22,31,95,27.2064,,,,,,
2020-04-23,31,110,26.9888,,,,,,
2020-04-24,31,98,27.651,,,,,,
2020-04-27,31,98,28.5592,,,,,,
2020-04-28,31,100,28.7862,,,,,,
2020-04-29,31,87,28.8808,,,,,,
2020-04-30,32,100,28.6916,,,,,,
2020-05-01,33,100,27.7929,,,,,,
2020-05-04,33,112,27.3672,,,,,,
2020-05-05,33,113,27.3767,,,,,,
2020-05-06,33,109,27.8118,,,,,,
2020-05-07,33,105,27.2726,,,,,,
